address,areacode,endDate,mapx,mapy,readcount,sigungucode,startDate,title
서울특별시 종로구 인왕산로 22,1,20191003,126.9657719166,37.5758807095,12866,23,20191003,개천절 대제전 2019
전남 여수시 삼산면 거문리,38,20190804,127.3106896352,34.0249238346,25079,13,20190802,거문도백도 은빛바다축제 2019
제주 제주시 조천읍,39,20190728,126.7118771715,33.4583490542,14875,4,20190720,거문오름 국제트레킹대회 2019
경상남도 거제시 장목면 외포5길 34,36,20191222,128.7194799643,34.9396463829,20520,1,20191221,거제 대구 수산물축제 2019
경상남도 거제시 계룡로11길 26,36,20190804,128.6184763736,34.8829397876,22179,1,20190801,거제 바다로세계로 2019
경상남도 거제시 계룡로11길 26,36,20190505,128.6184763736,34.8829397876,1065,1,20190505,거제 어린이 축제 2019
경상남도 거제시 옥포로 122,36,20190615,128.6931891049,34.8909735712,2591,1,20190614,거제 옥포대첩 축제 2019
경상남도 거제시 장승로 146-25,36,20191231,128.7271117837,34.8673851544,0,1,20191231,거제 장승포항 송년불꽃축제 2019
경상남도 거제시 장승포동 685-3,36,20190831,128.7260813301,34.8669324083,0,1,20190827,거제맥주축제 2019
경상남도 거제시 거제면 거제남서로 3577,36,20191103,128.5795665696,34.8565698127,82358,1,20191026,거제섬꽃축제 2019
경상남도 거창군 신원면 신차로 2924,36,20191110,127.9278050664,35.5565877844,6333,2,20191025,거창 국화전시 2019
경상남도 거창군 거창읍 중앙로 103,36,20200127,127.9095393091,35.6866949586,22057,2,20191201,거창 크리스마스트리문화축제 2019
경상남도 거창군 위천면 황산1길 60-6,36,20190811,127.8372103850,35.7606630635,35475,2,20190726,거창국제연극제 2019
경상남도 거창군 위천면 황산1길 60-6,36,20190809,127.8372103850,35.7606630635,394,2,20190803,거창전국대학연극제 2019
경상남도 거창군 거창읍 심소정길 39-36,36,20190929,127.9263598180,35.6951331926,29285,2,20190926,거창한마당대축제 2019
서울시청 광장(서울 중구 을지로 12),1,20190922,126.9787932340,37.5659098804,0,24,20190922,건강서울페스티벌 2019
서울특별시 중구 을지로36길 35,1,20190920,127.0018689332,37.5650631700,1850,24,20190920,건어물맥주축제 2019
서울특별시 종로구 세종대로,1,20191013,126.9747822252,37.5752198371,27,23,20190512,"걷자,도심보행길! 2019"
충청북도 제천시 의림대로14길 4 제천 시내 및 의림지 일원,33,20200127,128.2112051410,37.1383347045,91,7,20191220,겨울왕국제천 페스티벌 2020
대전광역시 서구 둔산대로 169,3,20190804,127.3880117687,36.3664721764,27338,3,20190802,견우직녀 축제 2019
서울특별시 강서구 양천로47길 36,1,20190511,126.8383836374,37.5722066362,3937,4,20190510,겸재문화예술제 2019
경기도 의정부시 청사로 1,31,20190601,127.0695824781,37.7502067435,3387,25,20190601,경기 다독다독 축제 2019
경기도 수원시 영통구 광교중앙로 140,31,20191019,127.0594632301,37.2858799237,23465,13,20191018,경기과학축전 & 수원정보과학축제 2019
경기도 안양시 동안구 평촌대로 389,31,20190609,126.9491782381,37.4051891236,20186,17,20190608,경기과학축전 & 안양사이버과학축제 2019
경기도 용인시 기흥구 상갈로 6,31,20190630,127.1065565948,37.2711019230,1,23,20190301,"경기도박물관 3·1운동 100주년 기념 특별전 '동무들아, 이 날을 기억하느냐' 2019"
서울특별시 서초구 강남대로 27,1,20191208,127.0396016001,37.4672141004,3201,15,20191205,경기도자페어 2019
경기도 수원시 팔달구 효원로307번길 20,31,20190726,127.0372659151,37.2619323007,10140,13,20190717,경기인형극제 in Suwon 2019
경상남도 창원시 의창구 충혼로 91,36,20191109,128.6601994410,35.2340984224,0,16,20191108,경남 만화·웹툰 페스티벌 2019
서울특별시 종로구 사직로 161,1,20191106,126.9748959222,37.5816246501,42,23,20190427,경복궁 야간 특별관람 2019
서울특별시 종로구 사직로 161,1,20191020,126.9767430185,37.5801415223,17499,23,20191009,경복궁 자경전 다례체험행사 2019
서울특별시 종로구 사직로 161,1,20191027,126.9769930325,37.5788222356,2348,23,20190427,경복궁 주·야간 전통공연 「고궁음악회」2019
서울특별시 중구 세종대로 110 서울광장,1,20191107,126.9784043599,37.5666625635,0,24,20191105,경북사과홍보행사 2019
경상북도 영주시 풍기읍 봉현면 오현리,35,20191020,128.5167077783,36.8719154882,80242,14,20191012,경북영주 풍기인삼축제 2019
서울특별시 중구 세종대로 110,1,20191107,126.9783710306,37.5665986816,12210,24,20191105,경북착한사과 페스티벌 2019
경상북도 경산시 자인면 계정길 80,35,20190609,128.8200110253,35.8182688829,21864,1,20190607,경산자인단오제 2019
경상남도 진주시 강남로 215,36,20190323,128.0917587773,35.1872712357,5791,13,20190308,경상남도연극제 2019
경상북도 경주시 용담로 79-48,35,20190428,129.2090867870,35.8606602717,29091,2,20190419,경주 도자기축제 2019
경상북도 경주시 천군동 1584-12,35,20190803,129.2871555936,35.8379587551,0,2,20190726,경주 맥주축제 (GYEONGJU BEER FESTIVAL) 2019
경상북도 경주시 봉황로 33-1,35,20191231,129.2098539025,35.8425289998,9972,2,20190101,경주 프리마켓 봉황장터 2019
경상북도 경주시 보문로 338,35,20190921,129.2772172203,35.8503627225,0,2,20190407,경주국악여행 2019
강원도 강릉시 강문동 산 1-1,32,20190714,128.9110416401,37.8024741993,0,1,20190712,경포 비치비어 페스티벌 2019
강원도 강릉시 초당동 459-28,32,20190817,128.9086892141,37.7979885609,0,1,20190817,경포 썸머댕댕런 2019
강원도 강릉시 강문동,32,20190804,128.9114221753,37.8020492563,28635,1,20190729,경포 썸머페스티벌 2019
강원도 강릉시 창해로 514,32,20200101,128.9074446419,37.8057293080,35611,1,20191231,"경포 해넘이, 해맞이 축제 2020"
충청남도 공주시 계룡면 신원사동길 1,34,20190421,127.1839253154,36.3355165551,9337,1,20190420,계룡산 산신제 2019
충청남도 계룡시 신도안면 정장리 16,34,20191007,127.2371213251,36.3068152207,76676,16,20191004,계룡세계軍문화축제 2019
대전광역시 대덕구 장동 485,3,20190512,127.4444556688,36.4050965379,30472,1,20190511,계족산 맨발축제 2019
강원도 평창군 방림면 계촌길 63,32,20190817,128.3039208605,37.4530112700,8219,15,20190815,계촌마을 클래식 거리축제 2019
강원도 원주시 호저면 호저로 1277-43,32,20200216,127.9154662381,37.4800230785,4922,9,20191115,고니골빛축제 2019
인천광역시 강화군 하점면 강화대로 994-33,2,20190421,126.4344149140,37.7747453264,236478,1,20190413,고려산 진달래축제 2019
서울특별시 용산구 남산공원길 105 남산서울타워 1층 광장,1,20190922,126.9878594933,37.5511312042,2246,21,20190921,"고려인삼 페스티벌 '우리라서 삼, 좋다' 2019"
경상북도 고령군 대가야읍 신남로 81,35,20191116,128.2692652160,35.7118958019,0,3,20191101,고령 대가야 달빛상점 2019
충청남도 공주시 고마나루길 5,34,20191106,127.1112756996,36.4600121262,6796,1,20191030,고마나루 전국 향토연극제 2019
울산광역시 중구 내오산로 67,7,20190928,129.2830667988,35.5533046338,20853,1,20190928,고복수 가요제 2019
강원도 고성군 간성읍 꽃대마을길 175,32,20190623,128.4150501452,38.3486205333,82542,2,20190601,고성 하늬라벤더팜 라벤더축제 2019
강원도 고성군 현내면 명파4길 44,32,20191222,128.4047477449,38.5435281237,0,2,20191221,고성 DMZ 크리스마스 페스티벌 2019
강원도 고성군 간성읍 수성로 87,32,20190925,128.4652585958,38.3761682935,23502,2,20190923,고성군민의날 및 수성문화제 2019
강원도 고성군 거진읍 해오름해변길 125,32,20191020,128.4541909408,38.4398023173,37107,2,20191017,고성통일명태축제 2019
경상남도 합천군 용주면 합천호수로 757,36,20190818,128.0728619423,35.5484496290,60232,21,20190726,고스트파크 2019
경기도 고양시 일산동구 호수로 595,31,20191013,126.7686654803,37.6538792239,99757,2,20190928,고양가을꽃축제 2019
경기도 고양시 덕양구 행주로15번길 89,31,20190526,126.8264396106,37.5960592044,32580,2,20190525,고양행주문화제 2019
전라북도 고창군 심원면 만돌리 960-86,37,20190609,126.5109312670,35.5328576425,57393,1,20190607,고창 갯벌축제 2019
전라북도 고창군 해리면 월봉성산길 88,37,20190512,126.4832936337,35.4700309828,1069,1,20190509,고창 한국지역도서전 2019
전라북도 고창군 해리면 청해1길 15,37,20190825,126.5378112270,35.4611162404,20165,1,20190823,고창 해풍고추축제 2019
전라북도 고창군 공음면 학원농장길 158-6,37,20191027,126.5428045873,35.3755288115,51509,1,20190720,고창가을꽃잔치 2019
강원도 정선군 고한읍 고한6길 15-2,32,20190804,128.8544539785,37.2006452900,43554,11,20190727,고한 함백산 야생화축제 2019
전라남도 고흥군 봉래면 하반로 490,38,20190505,127.5178610962,34.4536017986,46592,2,20190503,고흥 우주항공축제 2019
전라남도 곡성군 오곡면 기차마을로 232,38,20191006,127.3082975874,35.2775723415,30662,3,20191003,곡성심청축제 2019
전라북도 부안군 진서면 곰소8길 16,37,20191005,126.6136790447,35.5886252553,13257,6,20191003,곰소젓갈발효축제 2019
전라남도 해남군 현산면 백포길 122,38,20190921,126.5184433933,34.4405921370,3086,23,20190921,공재문화제 2019
충청남도 공주시 우체국길 8,34,20190831,127.1219804447,36.4544351759,0,1,20190830,공주 문화재야행 2019
충청남도 공주시 금벽로 990,34,20190506,127.1875830683,36.4479454091,29266,1,20190503,공주 석장리 세계구석기축제 2019
경기도 과천시 광명로 313,31,20190922,127.0178073023,37.4338148075,6,3,20180918,과천 국립현대미술관 '균열 Ⅱ: 세상을 보는 눈/ 영원을 향한 시선' 2019
경기도 과천시 광명로 313,31,20190623,127.0178073023,37.4338148075,1,3,20180711,과천 국립현대미술관 '소장품전: 근대를 수놓은 그림' 2019
경기도 과천시 광명로 313,31,20190901,127.0178073023,37.4338148075,4,3,20190321,과천 국립현대미술관 '신소장품 2017-2018' 2019
경기도 과천시 관문로 64,31,20190929,126.9892711841,37.4275927964,63460,3,20190926,과천축제 2019
서울특별시 강남구 영동대로 513,1,20191030,127.0594429796,37.5117148467,8280,1,20191029,관광산업 일자리박람회 2019
서울특별시 관악구 낙성대로 77 낙성대공원,1,20191019,126.9603170296,37.4714260798,0,5,20191017,관악 강감찬축제 2019
서울특별시 광진구 광장동 401-14 광진숲나루,1,20191005,127.0985439876,37.5465448386,18295,6,20191005,광나루어울마당 2019
경기도 광명시 시청로 20,31,20190818,126.8646172095,37.4786040931,679,4,20190816,광명가족극장 <도란도란 예술피크닉> 2019
경기도 광명시 가학로85번길 142,31,20191215,126.8634188301,37.4246631131,5077,4,20191213,광명동굴 대한민국 와인 페스티벌 2019
서울특별시 종로구 세종대로 175 세종문화회관,1,20190815,126.9768321230,37.5722396646,0,23,20190815,광복 74주년 기념 음악회 2019
전남 광양시 진월면 망덕포구 무접섬광장,38,20190901,127.7605822012,34.9763085581,67138,4,20190830,광양전어축제 2019
광주광역시 광산구 송정로8번길 13,5,20190706,126.7919634533,35.1364211589,4639,1,20190705,광주 맥주축제 ‘비어고을 광주’ 2019
경기도 광주시 곤지암읍 경충대로 727,31,20190512,127.3266121626,37.3510216352,43380,5,20190426,광주 왕실도자기축제 2019
광주광역시 동구 금남로 245,5,20191130,126.9187519429,35.1483608365,25008,3,20190420,광주 프린지페스티벌 2019
광주광역시 서구 상무누리로 30,5,20190929,126.8405366718,35.1469291222,0,5,20190926,광주 ACE Fair 2019
광주광역시 동구 금남로 245,5,20190728,126.9187491639,35.1484163859,0,3,20190712,광주 FINA 세계수영선수권대회 2019
광주광역시 서구 상무누리로 30,5,20191020,126.8405588979,35.1467180358,14227,5,20191017,광주국제차문화전시회 2019
광주광역시 동구 서남로 1,5,20190810,126.9231210717,35.1455501169,0,3,20190809,광주문화재야행 '동구 달빛걸음' 2019
광주광역시 남구 김치로 60 광주김치타운,5,20191027,126.8669936233,35.1085894527,67503,2,20191025,광주세계김치축제 2019
광주광역시 남구 포충로 937,5,20190901,126.8668358759,35.0856531497,829,2,20190831,광주예술난장 굿판 2019
서울특별시 강동구 광진교,1,20190831,127.1156258464,37.5437204751,14060,2,20190831,광진교 페스티벌 2019
서울특별시 종로구 세종대로 175,1,20190603,126.9768376800,37.5721757834,45877,23,20190505,광화문국제아트페스티벌 2019
충청북도 괴산군 괴산읍 임꺽정로 90 괴산군청 앞 유기농엑스포광장,33,20190921,127.7867247329,36.8154306620,0,1,20190920,괴산 유기농페스티벌 2019
충청북도 괴산군 괴산읍 임꺽정로 90,33,20190901,127.7866969589,36.8153806672,110154,1,20190829,괴산고추축제 2019
강원도 강릉시 난설헌로193번길 1-16,32,20190922,128.9099753965,37.7919253993,19077,1,20190921,교산허균 문화제 2019
부산광역시 서구 엄광산로107번길 43,6,20191009,129.0109968049,35.1255336836,21887,11,20191009,구덕골 문화예술제 2019
전라남도 구례군 구례읍 서시천로 76-11,38,20191006,127.4681045233,35.2157626349,20903,5,20191003,구례동편소리축제 · 송만갑판소리고수대회 2019
서울특별시 구로구 구로동 621-8,1,20190929,126.8700273272,37.4964382288,16692,7,20190927,구로G페스티벌 2019
서울특별시 구로구 공원로 71,1,20190406,126.8882921511,37.5027933722,40,7,20190406,구로거리공원 벚꽃축제 2019
서울특별시 구로구 가마산로 245,1,20191012,126.8875507563,37.4955247594,0,7,20191012,구로청소년축제 2019
경기도 구리시 토평동,31,20190512,127.1372785363,37.5751172190,62162,6,20190510,구리 유채꽃축제 2019
경기도 구리시 토평동 829,31,20190929,127.1368230057,37.5757004764,135344,6,20190927,구리 코스모스축제 2019
강원도 태백시 사군드리길 7 구문소관광단지,32,20190630,129.0380047012,37.0932944861,0,14,20190629,구문소 용축제 2019
경상북도 구미시 낙동제방길 200,35,20191012,128.3680615834,36.1311806135,0,4,20191012,구미사랑 페스티벌 2019
경상북도 구미시 산동면 첨단기업1로 17,35,20191027,128.4400299140,36.1418640583,0,4,20191027,구미시 청년페스티벌 2019
경상남도 김해시 가야의길 190,36,20190303,128.8738222186,35.2429513344,86,4,20181127,"국립김해박물관 특별전 ""황금문명 엘도라도 -신비의 보물을 찾아서-"" 2019"
대구광역시 수성구 청호로 321,4,20190915,128.6356847177,35.8489064482,1,7,20190518,"국립대구박물관 '이영희 기증 복식, 새바람' 2019"
전라북도 전주시 완산구 서학로 95,37,20190529,127.1569915817,35.8127340693,6,12,20190529,국립무형유산원 5월 문화가 있는날 공연 2019
서울특별시 종로구 삼청로 37,1,20190607,126.9792039392,37.5789139318,6902,23,20190607,국립민속박물관 단오축제 2019
서울특별시 종로구 삼청로 37,1,20190505,126.9789372085,37.5820413408,25449,23,20190505,"국립민속박물관 어린이박물관 '푸르른 오월, 어린이세상' 2019"
서울특별시 종로구 삼청로 37,1,20191231,126.9788705506,37.5819663482,22182,23,20190101,국립민속박물관 우리민속한마당
서울특별시 종로구 삼청로 37,1,20190218,126.9788594400,37.5819774581,9540,23,20190218,국립민속박물관 정월대보름 한마당 2019
서울특별시 종로구 삼청로 37,1,20190915,126.9785233635,37.5818441344,9940,23,20190914,국립민속박물관과 함께하는 한가위 큰마당 2019
광주광역시 동구 문화전당로 38,5,20190506,126.9202851804,35.1467693755,4333,3,20190504,국립아시아문화전당 어린이가족문화축제 'HOW FUN 5' 2019
전라북도 전주시 완산구 쑥고개로 249,37,20190505,127.0897256458,35.8012314343,28075,12,20190505,국립전주박물관 어린이축제 2019
경기도 과천시 광명로 313,31,20191231,127.0178073023,37.4338148075,5,3,20190327,국립현대미술관 어린이미술관 '#보다' 2019
서울특별시 종로구 율곡로 99,1,20190511,126.9919137882,37.5825915097,6545,23,20190511,국악로 국악대축제 2019
광주광역시 서구 상무누리로 30,5,20190622,126.8405033459,35.1467624742,7200,5,20190620,국제 그린카 전시회 2019
강원도 평창군 대관령면 솔봉로 325,32,20190718,128.6915128866,37.6646525475,3872,15,20190715,국제 스페셜 뮤직&아트페스티벌 2019
부산광역시 해운대구 APEC로 55 벡스코,6,20191117,129.1363347095,35.1691116738,58620,16,20191114,국제게임전시회 지스타 2019
인천광역시 연수구 센트럴로 123,2,20190927,126.6461951621,37.3890356252,129,8,20190927,국제기구-MICE 커리어페어 2019
전라북도 전주시 완산구 서학로 95,37,20190929,127.1596803132,35.8096094714,3018,12,20190927,국제무형유산영상축제(IIFF) 2019
제주특별자치도 서귀포시 중문관광로 224,39,20190511,126.4245292209,33.2413184587,17659,3,20190508,국제전기자동차엑스포 2019
전라북도 김제시 백산면 씨앗길 232,37,20191018,126.9058794948,35.8558248270,592,3,20191016,국제종자박람회 2019
서울특별시 강남구 영동대로 513,1,20190616,127.0594124394,37.5112648981,31761,1,20190613,국제차문화대전 2019
충청남도 서천군 장항읍 장항로161번길 27,34,20191006,126.6953025686,36.0129421851,0,8,20191002,국제창작문화축제 '장항선셋페스티벌' 2019
강원도 양구군 양구읍 박수근로 366-33,32,20190219,127.9814860049,38.1064460195,6308,6,20190219,국토정중앙 달맞이축제 2019
서울특별시 영등포구 의사당대로 1,1,20190407,126.9141334174,37.5320321034,8097,20,20190406,국회개방행사 국회의봄 2019
경남 합천군 합천읍 합천리 937,36,20190930,128.1526934165,35.5627244491,11169,21,20190927,군민의 날 및 대야문화제 2019
전라북도 군산시 임사길 10,37,20190506,126.6566215450,35.9499737148,33841,2,20190503,군산 꽁당보리축제 2019
전라북도 군산시 해망로 240,37,20190206,126.7120044249,35.9907894448,16851,2,20190204,군산근대역사박물관 설명절 근대마을 큰잔치 2020
전라북도 군산시 해망로 240,37,20191006,126.7120155343,35.9908283293,33114,2,20191004,군산시간여행축제 2019
강원도 인제군 인제읍 비봉로44번길 113,32,20190706,128.1641736160,38.0582467709,0,10,20190705,군장병e스포츠대회 2019
경상북도 울진군 근남면 왕피천로 634,35,20190616,129.3427105035,36.9228837986,10250,18,20190615,굴구지 피래미축제 2019
서울특별시 종로구 삼일대로 464(운현궁),1,20191012,126.9870644117,37.5761782792,4938,23,20191011,궁중과 사대부가의 전통음식축제 2019
경기도 안산시 단원구 뻐꾹산길 107,31,20190831,126.5825156964,37.2574469987,617,15,20190830,그랑꼬또와 함께하는 와인 페스티벌 in 대부도 2019
서울특별시 송파구 올림픽로 424,1,20191020,127.1224425827,37.5194456386,47535,18,20191019,그랜드민트페스티벌 2019 (GMF 2019)
서울특별시 마포구 한강난지로 162,1,20190519,126.8740888353,37.5679022179,20395,13,20190518,그린플러그드 서울 2019
서울특별시 광진구 능동로 216 서울어린이대공원 열린무대,1,20191102,127.0809371600,37.5499524589,515,6,20191102,글로벌 프렌즈쉽 페스티벌 2019
서울특별시 중구 소월로 50,1,20191007,126.9754466146,37.5553943754,0,24,20191007,글로벌 SW교육 컨퍼런스 2019
충청남도 부여군 부여읍 북포로 451,34,20190927,126.9405753938,36.3171005161,3033,6,20190927,금강문화관 사생대회 2019
충청남도 금산군 부리면 평촌리 금강놀이마당,34,20190713,127.5635928258,36.0768611410,51736,2,20190712,금강여울축제 2019
제주특별자치도 제주시 한림읍 한림로 247,39,20190804,126.2333869858,33.3884519714,459,4,20190803,금능원담축제 2019
부산광역시 수영구 황령산로 156,6,20191005,129.1029379945,35.1552487193,19593,12,20191005,금련산축제 2019
충청남도 금산군 금산읍 비호로 69,34,20190406,127.4846130592,36.1024457125,17061,2,20190406,금산천 봄꽃축제 2019
충북 단양군 적성면 상리 886,33,20191020,128.2751096778,36.9764239643,29992,2,20191020,금수산 감골단풍축제 2019
서울특별시 금천구 시흥대로73길 70,1,20190406,126.8946873249,37.4560739122,41073,8,20190405,금천 하모니 벚꽃축제 2019
대구광역시 북구 산격동 14-45,4,20190929,128.6048329084,35.9116404433,654,5,20190928,금호강바람소리길축제 2019
부산광역시 해운대구 수영강변대로 120,6,20191130,129.1271132357,35.1710751722,0,16,20191128,급이 있는 영화제 2019
경상북도 포항시 북구 기계면 현내리 산93-6,35,20191109,129.1999872059,36.0678922240,9731,23,20191109,기계 농특산물축제 2019
부산광역시 기장군 일광면 체육공원1로 155,6,20191201,129.2416886689,35.2974048139,5,3,20191118,기장 국제야구 대축제 2019
부산광역시 기장군 기장읍,6,20190428,129.2306166931,35.2229990560,126172,3,20190425,기장 멸치축제 2019
부산광역시 기장군 일광면 이천리,6,20190421,129.2461222980,35.2728243182,15366,3,20190418,기장 미역 다시마 축제 2019
부산광역시 기장군 장안읍 정관로 1133,6,20190421,129.2349663005,35.3237378468,8,3,20190406,기장 파머스마켓 2019
부산광역시 기장군 장안읍 정관로 1133,6,20191020,129.2349663005,35.3237378468,1548,3,20191019,기장 파전축제 2019
기장군 장안읍 임랑해수욕장 특설무대,6,20190818,129.2440602269,35.3139030077,0,3,20190817,기장임랑썸머뮤직페스티벌 2019
경기도 용인시 기흥구 신고매로 124,31,20191031,127.1209760109,37.2254769065,0,23,20191018,기흥 할로윈 놀이터 2019
경상남도 창원시 진해구 소사로59번길 13,36,20190929,128.7765976832,35.1288706806,38747,16,20190928,김달진문학제 2019
강원도 춘천시 신동면 김유정로 1430-14,32,20191008,127.7176519894,37.8183579302,14621,13,20191001,김유정문학제 2019
전라북도 김제시 금산면 모악로 455,37,20190407,127.0402488564,35.7188288389,30360,3,20190405,김제 모악산축제 2019
전라북도 김제시 진봉면 심포10길 94,37,20190505,126.7156630351,35.8597738984,9789,3,20190503,김제 지평선 추억의 보리밭 축제 2019
경상북도 김천시 대항면 대항면 운수리 31-1,35,20190721,128.0111963938,36.1168951689,19607,6,20190718,김천 자두포도축제 2019
경상북도 김천시 문당길 142,35,20190728,128.0932772451,36.1441935524,22551,6,20190719,김천국제가족연극제 2019
